taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
193734,spatial_join,no spatial geometry in clean file,Chelonodontops pleurospilus,Blaasop Beauty,EN,Fishes (not comprehensive)
193736,spatial_join,no spatial geometry in clean file,Balistes capriscus,Gray Triggerfish,VU,Fishes (not comprehensive)
48342221,spatial_join,no spatial geometry in clean file,Entomacrodus solus,Lonely Blenny,EN,Fishes (not comprehensive)
241149141,spatial_join,no spatial geometry in clean file,Afurcagobius suppositus,Southwest Goby,NT,Fishes (not comprehensive)
193751,spatial_join,no spatial geometry in clean file,Canthigaster cyanetron,,EN,Fishes (not comprehensive)
201946,spatial_join,no spatial geometry in clean file,Alosa aestivalis,Blueback Herring,VU,Fishes (not comprehensive)
48342236,spatial_join,no spatial geometry in clean file,Meiacanthus naevius,Birthmark Fangblenny,VU,Fishes (not comprehensive)
68330723,spatial_join,no spatial geometry in clean file,Gobiodon ceramensis,Ceram Coralgoby,NT,Fishes (not comprehensive)
241132777,spatial_join,no spatial geometry in clean file,Altrichthys alelia,Alelia’s Damselfish,EN,Fishes (not comprehensive)
193786,spatial_join,no spatial geometry in clean file,Arothron inconditus,Bellystriped Blaasop,VU,Fishes (not comprehensive)
176485629,spatial_join,no spatial geometry in clean file,Proscyllium magnificum,Magnificent Catshark,NT,Fishes (not comprehensive)
15602947,spatial_join,no spatial geometry in clean file,Cynoglossus senegalensis,Senegalese Tonguesole,NT,Fishes (not comprehensive)
193802,spatial_join,no spatial geometry in clean file,Canthigaster sanctaehelenae,St. Helena Sharpnose Pufferfish,EN,Fishes (not comprehensive)
48342282,spatial_join,no spatial geometry in clean file,Parablennius serratolineatus,Norfolk Island Blenny,VU,Fishes (not comprehensive)
48342284,spatial_join,no spatial geometry in clean file,Omobranchus smithi,,VU,Fishes (not comprehensive)
18584848,spatial_join,no spatial geometry in clean file,Pristis pristis,Largetooth Sawfish,CR,Fishes (not comprehensive)
48342288,spatial_join,no spatial geometry in clean file,Medusablennius chani,,VU,Fishes (not comprehensive)
16545046,spatial_join,no spatial geometry in clean file,Lopholatilus chamaeleonticeps,Golden Tilefish,EN,Fishes (not comprehensive)
144151831,spatial_join,no spatial geometry in clean file,Ginglymostoma unami,Pacific Nurse Shark,EN,Fishes (not comprehensive)
130393378,spatial_join,no spatial geometry in clean file,Squatina guggenheim,Angular Angelshark,EN,Fishes (not comprehensive)
202019,spatial_join,no spatial geometry in clean file,Acentrogobius griseus,Grey Goby,VU,Fishes (not comprehensive)
69793068,spatial_join,no spatial geometry in clean file,Caracanthus typicus,Hawaiian Orbicular Velvetfish,NT,Fishes (not comprehensive)
17710,spatial_join,no spatial geometry in clean file,Myzopsetta ferruginea,Yellowtail Flounder,VU,Fishes (not comprehensive)
189747,spatial_join,no spatial geometry in clean file,Enneapterygius leucopunctatus,,NT,Fishes (not comprehensive)
202038,spatial_join,no spatial geometry in clean file,Cynoglossus macrostomus,Malabar Tonguesole,VU,Fishes (not comprehensive)
48342328,spatial_join,no spatial geometry in clean file,Ecsenius randalli,Randall’s Coralblenny,VU,Fishes (not comprehensive)
48342339,spatial_join,no spatial geometry in clean file,Ecsenius tricolor,Derawan Combtooth Blenny,VU,Fishes (not comprehensive)
48342342,spatial_join,no spatial geometry in clean file,Praealticus natalis,Christmas Rockskipper,VU,Fishes (not comprehensive)
241149261,spatial_join,no spatial geometry in clean file,Oxyeleotris siamensis,Siamensis Gudgeon,NT,Fishes (not comprehensive)
48342357,spatial_join,no spatial geometry in clean file,Mimoblennius lineathorax,Chinbar Blenny,VU,Fishes (not comprehensive)
241149272,spatial_join,no spatial geometry in clean file,Gouania adriatica,,VU,Fishes (not comprehensive)
48342364,spatial_join,no spatial geometry in clean file,Ecsenius tigris,Tiger Blenny,VU,Fishes (not comprehensive)
60482909,spatial_join,no spatial geometry in clean file,Priolepis ascensionis,,EN,Fishes (not comprehensive)
21858,spatial_join,no spatial geometry in clean file,Thunnus maccoyii,Southern Bluefin Tuna,EN,Fishes (not comprehensive)
21859,spatial_join,no spatial geometry in clean file,Thunnus obesus,Bigeye Tuna,VU,Fishes (not comprehensive)
65365349,spatial_join,no spatial geometry in clean file,Cosmocampus balli,Ball's Pipefish,VU,Fishes (not comprehensive)
169473392,spatial_join,no spatial geometry in clean file,Glyphis gangeticus,Ganges Shark,CR,Fishes (not comprehensive)
48342396,spatial_join,no spatial geometry in clean file,Ophioblennius clippertonensis,Clipperton Fanged-blenny,VU,Fishes (not comprehensive)
68330883,spatial_join,no spatial geometry in clean file,Gobiodon erythrospilus,Red-spotted Coralgoby,VU,Fishes (not comprehensive)
104306073,spatial_join,no spatial geometry in clean file,Pastinachus gracilicaudus,Narrow Cowtail Ray,EN,Fishes (not comprehensive)
169376,spatial_join,no spatial geometry in clean file,Poeciliopsis elongata,Elongate Toothcarp,NT,Fishes (not comprehensive)
