taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
187270,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias alternatus,Peixe-anual,VU,"Fish (sharks, freshwater)"
182665,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius taeniurus,,VU,"Fish (sharks, freshwater)"
186764,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Psalidodon leonidas,Mojarra,VU,"Fish (sharks, freshwater)"
60301,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius pseudotoppini,,VU,"Fish (sharks, freshwater)"
176025489,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Parodon orinocensis,,VU,"Fish (sharks, freshwater)"
173832092,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias gardneri,,VU,"Fish (sharks, freshwater)"
107626909,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Galaxias sp. nov. 'slender',,CR,"Fish (sharks, freshwater)"
187294,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ophthalmolebias bokermanni,Peixe-anual,CR,"Fish (sharks, freshwater)"
168357,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Laubuka khujairokensis,,VU,"Fish (sharks, freshwater)"
186790,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias stellatus,,EN,"Fish (sharks, freshwater)"
